,noisy,original_time
0,65.62162111007858,2016-05-21 11:59:32+00:00
1,62.38059271895944,2016-05-22 11:59:32+00:00
2,65.97462522770888,2016-05-23 11:59:32+00:00
3,65.96474459479208,2016-05-24 11:59:32+00:00
4,65.70604128810422,2016-05-25 11:59:32+00:00
5,67.46595223539745,2016-05-26 11:59:32+00:00
6,67.34137101142346,2016-05-27 11:59:32+00:00
7,67.15043113971774,2016-05-28 11:59:32+00:00
8,68.92707979094082,2016-05-29 11:59:32+00:00
9,68.91568284363437,2016-05-30 11:59:32+00:00
10,67.99933101557464,2016-05-31 11:59:32+00:00
11,66.50391560105243,2016-06-01 11:59:32+00:00
12,63.49708273166185,2016-06-02 11:59:32+00:00
13,65.7398758069408,2016-06-03 11:59:32+00:00
14,63.60437958107172,2016-06-04 11:59:32+00:00
15,66.07598705588411,2016-06-05 11:59:32+00:00
16,64.582784065162,2016-06-06 11:59:32+00:00
17,62.99408047768562,2016-06-07 11:59:32+00:00
18,66.13084066827956,2016-06-08 11:59:32+00:00
19,63.42412306006294,2016-06-09 11:59:32+00:00
20,65.02827053022374,2016-06-10 11:59:32+00:00
21,65.94558919353912,2016-06-11 11:59:32+00:00
22,64.22379795736077,2016-06-12 11:59:32+00:00
23,63.594578240172936,2016-06-13 11:59:32+00:00
24,63.69413521132534,2016-06-14 11:59:32+00:00
25,60.43578653791936,2016-06-15 11:59:32+00:00
26,60.868476839685364,2016-06-16 11:59:32+00:00
27,57.582441431328554,2016-06-17 11:59:32+00:00
28,58.484193243830056,2016-06-18 11:59:32+00:00
29,57.819426802933926,2016-06-19 11:59:32+00:00
30,60.65294691925636,2016-06-20 11:59:32+00:00
31,57.51612967501154,2016-06-21 11:59:32+00:00
32,61.71967381772349,2016-06-22 11:59:32+00:00
33,61.783639101970216,2016-06-23 11:59:32+00:00
34,61.849354116070955,2016-06-24 11:59:32+00:00
35,59.005322441490335,2016-06-25 11:59:32+00:00
36,59.45696464637446,2016-06-26 11:59:32+00:00
37,61.80108580273159,2016-06-27 11:59:32+00:00
38,60.97571320094799,2016-06-28 11:59:32+00:00
39,60.02251323060097,2016-06-29 11:59:32+00:00
40,62.49651070861889,2016-06-30 11:59:32+00:00
41,60.306049717028024,2016-07-01 11:59:32+00:00
42,60.70159412991815,2016-07-02 11:59:32+00:00
43,62.50277199765775,2016-07-03 11:59:32+00:00
44,63.12170314332864,2016-07-04 11:59:32+00:00
45,63.06106861336494,2016-07-05 11:59:32+00:00
46,63.57102967230071,2016-07-06 11:59:32+00:00
47,65.50882909818559,2016-07-07 11:59:32+00:00
48,66.79946270991738,2016-07-08 11:59:32+00:00
