Object_ID,HeartRate,GMT_date,Species
W1304,68.1861111111111,2016-08-17 11:59:32,Brown
W1304,70.6944444444444,2016-08-18 11:59:32,Brown
W1304,70.5083333333333,2016-08-19 11:59:32,Brown
W1304,63.6333333333333,2016-08-20 11:59:32,Brown
W1304,64.1986111111111,2016-08-21 11:59:32,Brown
W1304,64.1236111111111,2016-08-22 11:59:32,Brown
W1304,61.5458333333333,2016-08-23 11:59:32,Brown
W1304,62.3944444444444,2016-08-24 11:59:32,Brown
W1304,63.2416666666667,2016-08-25 11:59:32,Brown
W1304,66.5763888888889,2016-08-26 11:59:32,Brown
W1304,67.6875,2016-08-27 11:59:32,Brown
W1304,64.3027777777778,2016-08-28 11:59:32,Brown
W1304,64.7541666666667,2016-08-29 11:59:32,Brown
W1304,65.2944444444445,2016-08-30 11:59:32,Brown
W1304,59.2097222222222,2016-08-31 11:59:32,Brown
W1304,67.65,2016-09-01 11:59:32,Brown
W1304,57.5986111111111,2016-09-02 11:59:32,Brown
W1304,64.8444444444444,2016-09-03 11:59:32,Brown
W1304,61.6,2016-09-04 11:59:32,Brown
W1304,63.7819444444444,2016-09-05 11:59:32,Brown
W1304,64.6458333333333,2016-09-06 11:59:32,Brown
W1304,67.7319444444445,2016-09-07 11:59:32,Brown
W1304,65.9291666666667,2016-09-08 11:59:32,Brown
W1304,66.6555555555556,2016-09-09 11:59:32,Brown
W1304,69.0638888888889,2016-09-10 11:59:32,Brown
W1304,69.6388888888889,2016-09-11 11:59:32,Brown
W1304,66.1763888888889,2016-09-12 11:59:32,Brown
W1304,63.0222222222222,2016-09-13 11:59:32,Brown
W1304,66.0944444444444,2016-09-14 11:59:32,Brown
W1304,66.9208333333333,2016-09-15 11:59:32,Brown
W1304,67.6111111111111,2016-09-16 11:59:32,Brown
W1304,68.1416666666667,2016-09-17 11:59:32,Brown
W1304,65.7597222222222,2016-09-18 11:59:32,Brown
W1304,67.1625,2016-09-19 11:59:32,Brown
W1304,64.9791666666667,2016-09-20 11:59:32,Brown
W1304,62.0236111111111,2016-09-21 11:59:32,Brown
W1304,59.2513888888889,2016-09-22 11:59:32,Brown
W1304,62.3763888888889,2016-09-23 11:59:32,Brown
W1304,63.0444444444444,2016-09-24 11:59:32,Brown
W1304,60.7819444444444,2016-09-25 11:59:32,Brown
W1304,62.2277777777778,2016-09-26 11:59:32,Brown
W1304,59.2180555555556,2016-09-27 11:59:32,Brown
W1304,60.7458333333333,2016-09-28 11:59:32,Brown
W1304,56.5347222222222,2016-09-29 11:59:32,Brown
W1304,60.9347222222222,2016-09-30 11:59:32,Brown
W1304,59.8652777777778,2016-10-01 11:59:32,Brown
W1304,53.1472222222222,2016-10-02 11:59:32,Brown
W1304,55.3819444444444,2016-10-03 11:59:32,Brown
W1304,51.5152777777778,2016-10-04 11:59:32,Brown
W1304,49.9097222222222,2016-10-05 11:59:32,Brown
W1304,49.7388888888889,2016-10-06 11:59:32,Brown
W1304,55.1486111111111,2016-10-07 11:59:32,Brown
W1304,52.4680555555556,2016-10-08 11:59:32,Brown
W1304,51.3430555555556,2016-10-09 11:59:32,Brown
W1304,54.4958333333333,2016-10-10 11:59:32,Brown
W1304,52.125,2016-10-11 11:59:32,Brown
W1304,53.8513888888889,2016-10-12 11:59:32,Brown
W1304,55.2416666666667,2016-10-13 11:59:32,Brown
W1304,48.7375,2016-10-14 11:59:32,Brown
W1304,47.1555555555556,2016-10-15 11:59:32,Brown
W1304,47.4208333333333,2016-10-16 11:59:32,Brown
W1304,42.7055555555556,2016-10-17 11:59:32,Brown
W1304,44.2291666666667,2016-10-18 11:59:32,Brown
W1304,42.9625,2016-10-19 11:59:32,Brown
W1304,44.3458333333333,2016-10-20 11:59:32,Brown
W1304,46.5180555555556,2016-10-21 11:59:32,Brown
W1304,42.6013888888889,2016-10-22 11:59:32,Brown
W1304,39.9027777777778,2016-10-23 11:59:32,Brown
W1304,30.1791666666667,2016-10-24 11:59:32,Brown
W1304,26.4,2016-10-25 11:59:32,Brown
W1304,24.2152777777778,2016-10-26 11:59:32,Brown
W1304,22.7638888888889,2016-10-27 11:59:32,Brown
W1304,21.5888888888889,2016-10-28 11:59:32,Brown
W1304,21.3652777777778,2016-10-29 11:59:32,Brown
W1304,18.2694444444444,2016-10-30 11:59:32,Brown
W1304,17.5111111111111,2016-10-31 11:59:32,Brown
W1304,19.7,2016-11-01 11:59:32,Brown
W1304,19.1652777777778,2016-11-02 11:59:32,Brown
W1304,19.9916666666667,2016-11-03 11:59:32,Brown
W1304,20.7583333333333,2016-11-04 11:59:32,Brown
W1304,23.1013888888889,2016-11-05 11:59:32,Brown
W1304,19.8833333333333,2016-11-06 11:59:32,Brown
W1304,18.9680555555556,2016-11-07 11:59:32,Brown
W1304,19.0138888888889,2016-11-08 11:59:32,Brown
W1304,19.5069444444444,2016-11-09 11:59:32,Brown
W1304,20.6805555555556,2016-11-10 11:59:32,Brown
W1304,20.2916666666667,2016-11-11 11:59:32,Brown
W1304,22.1291666666667,2016-11-12 11:59:32,Brown
W1304,25.6875,2016-11-13 11:59:32,Brown
W1304,23.1763888888889,2016-11-14 11:59:32,Brown
W1304,24.0180555555556,2016-11-15 11:59:32,Brown
W1304,26.2805555555556,2016-11-16 11:59:32,Brown
W1304,24.4375,2016-11-17 11:59:32,Brown
W1304,21.6388888888889,2016-11-18 11:59:32,Brown
W1304,25.3388888888889,2016-11-19 11:59:32,Brown
W1304,21.9180555555556,2016-11-20 11:59:32,Brown
W1304,21.8819444444444,2016-11-21 11:59:32,Brown
W1304,21.4166666666667,2016-11-22 11:59:32,Brown
W1304,21.6069444444444,2016-11-23 11:59:32,Brown
W1304,19.4986111111111,2016-11-24 11:59:32,Brown
W1304,20.4986111111111,2016-11-25 11:59:32,Brown
W1304,23.8027777777778,2016-11-26 11:59:32,Brown
W1304,18.4569444444444,2016-11-27 11:59:32,Brown
W1304,19.0833333333333,2016-11-28 11:59:32,Brown
W1304,17.9166666666667,2016-11-29 11:59:32,Brown
W1304,18.4472222222222,2016-11-30 11:59:32,Brown
W1304,18.1194444444444,2016-12-01 11:59:32,Brown
W1304,19.7125,2016-12-02 11:59:32,Brown
W1304,20.0541666666667,2016-12-03 11:59:32,Brown
W1304,16.7236111111111,2016-12-04 11:59:32,Brown
W1304,17.8652777777778,2016-12-05 11:59:32,Brown
W1304,17.8402777777778,2016-12-06 11:59:32,Brown
W1304,16.4861111111111,2016-12-07 11:59:32,Brown
W1304,17.3402777777778,2016-12-08 11:59:32,Brown
W1304,22.5555555555556,2016-12-09 11:59:32,Brown
W1304,29.2597222222222,2016-12-10 11:59:32,Brown
W1304,24.1986111111111,2016-12-11 11:59:32,Brown
W1304,22.1194444444444,2016-12-12 11:59:32,Brown
W1304,19.7013888888889,2016-12-13 11:59:32,Brown
W1304,21.8069444444444,2016-12-14 11:59:32,Brown
W1304,19.1597222222222,2016-12-15 11:59:32,Brown
W1304,17.9291666666667,2016-12-16 11:59:32,Brown
W1304,18.7041666666667,2016-12-17 11:59:32,Brown
W1304,17.9930555555556,2016-12-18 11:59:32,Brown
W1304,18.5819444444444,2016-12-19 11:59:32,Brown
W1304,17.3083333333333,2016-12-20 11:59:32,Brown
W1304,20.218010646312646,2016-12-21 11:59:32,Brown
W1304,20.809478243982404,2016-12-22 11:59:32,Brown
W1304,19.87823638011296,2016-12-23 11:59:32,Brown
W1304,17.77033024566376,2016-12-24 11:59:32,Brown
W1304,21.114318431223545,2016-12-25 11:59:32,Brown
W1304,19.8243414232287,2016-12-26 11:59:32,Brown
W1304,23.74620620341173,2016-12-27 11:59:32,Brown
W1304,20.292615842208313,2016-12-28 11:59:32,Brown
W1304,21.028634175504184,2016-12-29 11:59:32,Brown
W1304,22.467794759463285,2016-12-30 11:59:32,Brown
W1304,18.180624457379054,2016-12-31 11:59:32,Brown
W1304,21.418415442774357,2017-01-01 11:59:32,Brown
W1304,23.324554968597575,2017-01-02 11:59:32,Brown
W1304,21.389276809923306,2017-01-03 11:59:32,Brown
W1304,18.887457657890756,2017-01-04 11:59:32,Brown
W1304,22.52318894483492,2017-01-05 11:59:32,Brown
W1304,21.044814936160286,2017-01-06 11:59:32,Brown
W1304,21.415963738440215,2017-01-07 11:59:32,Brown
W1304,18.606038762965422,2017-01-08 11:59:32,Brown
W1304,22.662443298679623,2017-01-09 11:59:32,Brown
W1304,23.126064833450116,2017-01-10 11:59:32,Brown
W1304,19.081716157151515,2017-01-11 11:59:32,Brown
W1304,21.715124463244166,2017-01-12 11:59:32,Brown
W1304,17.922519177903524,2017-01-13 11:59:32,Brown
W1304,20.79103799923509,2017-01-14 11:59:32,Brown
W1304,20.002324874927535,2017-01-15 11:59:32,Brown
W1304,20.797800511681867,2017-01-16 11:59:32,Brown
W1304,19.444709162813584,2017-01-17 11:59:32,Brown
W1304,21.841137355355002,2017-01-18 11:59:32,Brown
W1304,19.181134601652428,2017-01-19 11:59:32,Brown
W1304,21.5429466924209,2017-01-20 11:59:32,Brown
W1304,20.230236828137933,2017-01-21 11:59:32,Brown
W1304,19.7511341757694,2017-01-22 11:59:32,Brown
W1304,17.857047480849968,2017-01-23 11:59:32,Brown
W1304,20.131581066214245,2017-01-24 11:59:32,Brown
W1304,21.63544361276809,2017-01-25 11:59:32,Brown
W1304,21.689381114854644,2017-01-26 11:59:32,Brown
W1304,20.17384584486653,2017-01-27 11:59:32,Brown
W1304,21.98337662849044,2017-01-28 11:59:32,Brown
W1304,18.091627354643744,2017-01-29 11:59:32,Brown
W1304,21.83026512609236,2017-01-30 11:59:32,Brown
W1304,20.092134061393043,2017-01-31 11:59:32,Brown
W1304,19.670058970103113,2017-02-01 11:59:32,Brown
W1304,22.279837848018982,2017-02-02 11:59:32,Brown
W1304,20.412606886190865,2017-02-03 11:59:32,Brown
W1304,21.07361696514197,2017-02-04 11:59:32,Brown
W1304,18.648153479960197,2017-02-05 11:59:32,Brown
